rentree_scolaire;academie;code_du_departement;departement;uai;nom_de_l_etablissment;code_insee_de_la_commune;nom_de_la_commune;secteur;ips
2018-2019;GUYANE;973;GUYANE;9730227J;ECOLE ELEMENTAIRE DE CACAO;97310;ROURA;public;97.0
2018-2019;GUYANE;973;GUYANE;9730242A;ECOLE ELEMENTAIRE OLIVIER COMPAS;97304;KOUROU;public;77.7
2018-2019;GUYANE;973;GUYANE;9730271G;ECOLE ELEMENTAIRE RAYMOND RECHOU;97311;SAINT LAURENT DU MARONI;public;55.1
2018-2019;GUYANE;973;GUYANE;9730284W;ECOLE ELEMENTAIRE ARMIDE EUZET;97311;SAINT LAURENT DU MARONI;public;55.0
2018-2019;GUYANE;973;GUYANE;9730318H;ECOLE ELEMENTAIRE EDME COURAT;97305;MACOURIA;public;79.4
2018-2019;GUYANE;973;GUYANE;9730353W;ECOLE ELEMENTAIRE ALAIN MOUTY;97311;SAINT LAURENT DU MARONI;public;58.4
2018-2019;GUYANE;973;GUYANE;9730375V;ECOLE ELEMENTAIRE CAPITAINE LOUIS FOFI;97362;PAPAICHTON;public;51.1
2018-2019;GUYANE;973;GUYANE;9730383D;ECOLE ELEMENTAIRE OLIVE PALMOT;97304;KOUROU;public;78.3
2018-2019;GUYANE;973;GUYANE;9730428C;ECOLE ELEMENTAIRE ELVINA LIXEF;97309;REMIRE MONTJOLY;public;83.2
2018-2019;GUYANE;973;GUYANE;9730445W;GROUPE SCOLAIRE ANNE MARIE MARCHADOUR;97306;MANA;public;63.3
2018-2019;GUYANE;973;GUYANE;9730480J;GROUPE SCOLAIRE SERGE ADELSON;97305;MACOURIA;public;75.3
2018-2019;GUYANE;973;GUYANE;9730487S;ECOLE ELEMENTAIRE PAUL CASTAING;97311;SAINT LAURENT DU MARONI;public;58.0
2018-2019;LA REUNION;974;LA REUNION;9740105W;ECOLE PRIMAIRE PUBLIQUE JEANNE NATIVEL;97404;L ETANG SALE;public;107.8
2018-2019;LA REUNION;974;LA REUNION;9740122P;ECOLE ELEMENTAIRE PUBLIQUE HENRY DUNANT;97411;SAINT DENIS;public;76.6
2018-2019;LA REUNION;974;LA REUNION;9740139H;ECOLE PRIMAIRE PUBLIQUE THERESIEN CADET;97401;LES AVIRONS;public;112.2
2018-2019;LA REUNION;974;LA REUNION;9740143M;ECOLE ELEMENTAIRE PUBLIQUE NARASSIGUIN;97402;BRAS PANON;public;76.0
2018-2019;LA REUNION;974;LA REUNION;9740164K;ECOLE ELEMENTAIRE PUBLIQUE LA MARE;97403;ENTRE DEUX;public;90.2
2018-2019;LA REUNION;974;LA REUNION;9740172U;ECOLE ELEMENTAIRE FRANCIS RIVIERE;97404;L ETANG SALE;public;101.6
2018-2019;LA REUNION;974;LA REUNION;9740182E;ECOLE ELEMENTAIRE PUBLIQUE EVARISTE DE PARNY;97408;LA POSSESSION;public;97.9
2018-2019;LA REUNION;974;LA REUNION;9740195U;ECOLE ELEMENTAIRE ANDRE HOARAU;97410;SAINT BENOIT;public;61.7
2018-2019;LA REUNION;974;LA REUNION;9740218U;ECOLE ELEMENTAIRE PUBLIQUE LENEPVEU;97412;SAINT JOSEPH;public;74.3
2018-2019;LA REUNION;974;LA REUNION;9740229F;ECOLE PRIMAIRE PARC A MOUTONS;97412;SAINT JOSEPH;public;79.2
2018-2019;LA REUNION;974;LA REUNION;9740244X;ECOLE ELEMENTAIRE PUBLIQUE CANDIDE AZEMA A;97411;SAINT DENIS;public;67.9
2018-2019;LA REUNION;974;LA REUNION;9740246Z;ECOLE PRIMAIRE DES GOYAVES;97412;SAINT JOSEPH;public;85.4
2018-2019;LA REUNION;974;LA REUNION;9740252F;ECOLE PRIMAIRE PUBLIQUE BEZAVES;97412;SAINT JOSEPH;public;66.5
2018-2019;LA REUNION;974;LA REUNION;9740267X;ECOLE PRIMAIRE ESTELLA CLAIN;97413;SAINT LEU;public;65.6
2018-2019;LA REUNION;974;LA REUNION;9740278J;ECOLE ELEMENTAIRE RAPHAEL BARQUISSEAU;97414;SAINT LOUIS;public;61.6
